index, initial_mass, final_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core 
52, 1.40000, 1.40000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
53, 1.40000, 1.40000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
54, 1.40000, 1.40000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
55, 1.40000, 1.40000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
56, 1.40000, 1.40000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
57, 1.40000, 1.40000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
58, 1.40000, 1.40000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
59, 1.40000, 1.40000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
60, 1.20000, 1.20000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
61, 1.20000, 1.20000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
62, 1.20000, 1.20000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
63, 1.20000, 1.20000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
64, 1.20000, 1.20000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
65, 1.20000, 1.20000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
66, 1.20000, 1.20000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
67, 1.20000, 1.20000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
68, 1.20000, 1.20000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
69, 1.00000, 1.00000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
70, 1.00000, 1.00000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
71, 1.00000, 1.00000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
72, 1.00000, 1.00000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
73, 1.00000, 1.00000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
74, 1.00000, 1.00000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
75, 1.00000, 1.00000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
76, 1.00000, 1.00000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
77, 1.00000, 1.00000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
78, 0.80000, 0.80000, 0.71554074, 0.26924069, 0.01521857, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
79, 0.80000, 0.80000, 0.71144196, 0.27158034, 0.01697770, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
80, 0.80000, 0.80000, 0.70689859, 0.27417376, 0.01892764, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
81, 0.80000, 0.80000, 0.70186945, 0.27704448, 0.02108607, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
82, 0.80000, 0.80000, 0.69631116, 0.28021723, 0.02347160, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
83, 0.80000, 0.80000, 0.69017855, 0.28371782, 0.02610363, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
84, 0.80000, 0.80000, 0.68342498, 0.28757287, 0.02900215, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
85, 0.80000, 0.80000, 0.67600299, 0.29180945, 0.03218756, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
86, 0.80000, 0.80000, 0.66786498, 0.29645475, 0.03568027, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
